epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
77,5353.96,0.92779,0.39055,1.00487,0.98582,0.95002,0.97143,0.69103,1.05312,0.36977,1.04867,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5422.16,0.92738,0.39252,1.00397,0.98533,0.94827,0.97195,0.69112,1.05293,0.36919,1.04974,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5490.29,0.92052,0.38577,0.99802,0.9817,0.95314,0.97214,0.69037,1.05339,0.36855,1.04733,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,5558.52,0.91636,0.38773,0.99463,0.97851,0.95419,0.97156,0.69122,1.05425,0.36913,1.04394,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,5625.96,0.92275,0.38656,0.99521,0.98799,0.9467,0.97228,0.68875,1.05522,0.37178,1.04427,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,5694.46,0.91372,0.385,0.99655,0.98394,0.94877,0.9719,0.68881,1.05845,0.37081,1.04771,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,5762.4,0.90429,0.37776,0.99328,0.98627,0.94875,0.97162,0.68825,1.05887,0.37129,1.04817,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,5830.21,0.90244,0.37798,0.9884,0.98485,0.94794,0.9725,0.6861,1.05872,0.37033,1.04681,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,5898.16,0.90221,0.37226,0.99207,0.99054,0.94305,0.97205,0.68876,1.06084,0.36972,1.04759,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,5966.69,0.90163,0.37375,0.99115,0.98912,0.94351,0.97181,0.68716,1.0608,0.3714,1.04816,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,6050.1,0.90697,0.37494,0.98967,0.98902,0.94349,0.97176,0.68783,1.05776,0.3701,1.04565,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,6122.16,0.89139,0.36717,0.9862,0.99138,0.94358,0.97163,0.6873,1.05626,0.36897,1.04418,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,6191.37,0.88968,0.36525,0.98801,0.98669,0.94528,0.97129,0.68796,1.05942,0.36944,1.0458,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
